Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_AdjClose,UAL_Volume,SAVE_Open,SAVE_High,SAVE_Low,SAVE_Close,SAVE_AdjClose,SAVE_Volume,AAL_Open,AAL_High,AAL_Low,AAL_Close,AAL_AdjClose,AAL_Volume,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_AdjClose,DAL_Volume,LUV_Open,LUV_High,LUV_Low,LUV_Close,LUV_AdjClose,LUV_Volume,JBLU_Open,JBLU_High,JBLU_Low,JBLU_Close,JBLU_AdjClose,JBLU_Volume,UALSocialMedia,SAVESoicalMedia,AALSocialMedia,DALSocialMedia,LUVSocialMedia,JBLUSocialMedia
5/16/16,44.320000,46.279999,43.509998,44.490002,44.490002,25335300,40.110001,42.970001,39.880001,42.320000,42.320000,6058400,31.809999,33.360001,30.990000,32.009998,30.762354,50990900,42.549999,44.660000,42.049999,43.099998,39.423756,53714400,41.610001,43.240002,41.320000,42.189999,40.406185,27145700,18.320000,18.680000,17.670000,18.110001,18.110001,30411200,15,7,23,17,26,9
5/23/16,44.540001,45.939999,44.139999,45.180000,45.180000,19609500,42.230000,43.619999,41.650002,43.540001,43.540001,2782300,32.029999,32.900002,31.370001,31.650000,30.416388,36659400,43.000000,44.110001,42.400002,43.119999,39.442062,36209500,42.189999,43.290001,41.570000,42.330002,40.540257,20140700,18.000000,18.330000,17.610001,18.250000,18.250000,25329900,16,7,22,17,26,9
5/30/16,45.130001,45.590000,43.599998,44.299999,44.299999,19057900,43.610001,44.580002,42.200001,42.939999,42.939999,2755800,31.750000,32.259998,30.370001,30.809999,29.609127,35271600,43.250000,43.709999,41.250000,41.570000,38.024273,42424200,42.349998,42.650002,41.110001,41.689999,39.927326,18434300,18.209999,18.240000,17.530001,17.730000,17.730000,18649300,16,7,23,16,24,9
6/6/16,44.200001,46.910000,43.529999,46.080002,46.080002,24844600,42.939999,46.919998,41.950001,45.810001,45.810001,5624900,30.770000,33.580002,30.379999,33.139999,31.848307,45373300,41.540001,42.810001,41.000000,42.040001,38.454178,51252000,41.500000,44.330002,41.209999,43.630001,41.785297,26711300,17.680000,18.770000,17.639999,18.090000,18.090000,28771400,15,7,23,17,31,9
6/13/16,45.590000,45.880001,41.459999,42.619999,42.619999,37503800,45.040001,45.130001,41.139999,42.480000,42.480000,5733000,32.990002,32.990002,28.850000,29.340000,28.196426,64719400,41.590000,41.700001,37.680000,38.009998,34.767910,60300700,43.220001,43.490002,39.180000,39.740002,38.151283,41019500,17.730000,17.900000,16.260000,16.299999,16.299999,30756900,15,7,23,17,27,9
6/20/16,43.070000,45.919998,41.040001,41.060001,41.060001,34219800,44.439999,44.990002,41.459999,42.290001,42.290001,6007600,29.750000,30.490000,27.040001,27.049999,25.995686,69147900,38.430000,39.160000,35.169998,35.180000,32.179314,65995400,40.049999,40.880001,37.740002,38.310001,36.778458,51865400,16.469999,16.660000,15.320000,15.460000,15.460000,32802300,16,6,24,18,28,9
6/27/16,40.639999,41.799999,37.410000,41.369999,41.369999,39247900,41.990002,46.240002,40.490002,46.060001,46.060001,4986600,26.850000,29.520000,24.850000,29.330000,28.186813,82603300,34.840000,37.000000,32.599998,36.770000,33.633678,84940600,37.980000,39.770000,36.480000,39.599998,38.016869,41656500,15.300000,16.830000,14.760000,16.639999,16.639999,35135200,16,7,24,18,26,10
7/4/16,40.799999,41.730000,37.639999,41.480000,41.480000,23293100,45.320000,46.419998,42.810001,46.029999,46.029999,4273100,29.090000,30.280001,27.120001,30.040001,28.869146,53663600,36.000000,37.750000,34.080002,37.369999,34.182510,50176300,39.740002,40.910000,38.150002,40.540001,38.919300,19233900,16.600000,17.209999,15.980000,17.110001,17.110001,20040800,14,6,23,17,26,9
7/11/16,41.880001,47.939999,41.720001,47.430000,47.430000,32819500,46.459999,50.090000,46.180000,47.459999,47.459999,5891000,30.230000,36.189999,30.219999,35.889999,34.491123,79806700,37.669998,41.349998,37.599998,39.980000,36.569889,79148100,40.939999,45.000000,40.810001,43.160000,41.434563,32816400,17.129999,18.860001,17.059999,18.639999,18.639999,39157300,15,7,24,17,28,10
7/18/16,47.580002,49.869999,46.020000,47.570000,47.570000,27607100,47.490002,48.250000,41.209999,43.759998,43.759998,8877000,36.029999,36.730000,34.439999,36.360001,34.942806,60796100,40.169998,41.220001,38.270000,38.959999,35.636883,54103400,43.290001,43.560001,37.009998,37.830002,36.317642,70619400,18.570000,18.780001,17.260000,17.580000,17.580000,27232200,16,6,23,17,40,9
